# California county outlines for the Caltrans district lookup.
# Read: U.S. Census Bureau 2023 cartographic boundary file, counties,
# 1:20,000,000 (cb_2023_us_county_20m.zip), public domain. Coordinates
# rounded to 4 decimals. Regenerate: uv run python tools/build_ca_county_outlines.py
# One ring per line: county name, a tab, then lon,lat pairs separated by spaces.
Glenn	-122.9118,39.7995 -122.0465,39.7976 -121.9473,39.7312 -121.9943,39.6715 -121.9940,39.5339 -121.8565,39.5369 -121.8900,39.3839 -122.0097,39.3839 -122.0089,39.4136 -122.1362,39.4145 -122.7391,39.3833 -122.7356,39.5807 -122.8854,39.5801 -122.8927,39.7089 -122.9377,39.7982 -122.9118,39.7995
Humboldt	-124.3870,40.5050 -124.3014,40.6596 -124.1767,40.8436 -124.1181,40.9893 -124.1254,41.0485 -124.1545,41.0872 -124.1640,41.1387 -124.1227,41.1897 -124.0923,41.2877 -124.0631,41.4396 -124.0675,41.4647 -123.7706,41.4642 -123.7702,41.3808 -123.6614,41.3821 -123.4878,41.3769 -123.4083,41.1799 -123.4640,41.0763 -123.4061,41.0138 -123.4815,40.9150 -123.5602,40.9503 -123.6238,40.9294 -123.5598,40.8296 -123.5441,40.7394 -123.5445,40.0019 -124.0252,40.0013 -124.0359,40.0133 -124.0689,40.0213 -124.0871,40.0784 -124.1400,40.1163 -124.1879,40.1305 -124.2584,40.1843 -124.3431,40.2440 -124.3634,40.2610 -124.3531,40.3314 -124.3654,40.3749 -124.4096,40.4381 -124.3870,40.5050
Imperial	-116.1033,33.0747 -116.0852,33.4259 -115.4675,33.4270 -114.8308,33.4301 -114.6291,33.4335 -114.6352,33.4227 -114.6739,33.4183 -114.7253,33.4050 -114.7073,33.3766 -114.7080,33.3234 -114.7233,33.2881 -114.6745,33.2556 -114.6781,33.2303 -114.6794,33.1595 -114.7062,33.1053 -114.6708,33.0380 -114.6283,33.0311 -114.5752,33.0365 -114.5175,33.0247 -114.5113,33.0235 -114.4813,32.9721 -114.4766,32.9236 -114.4631,32.9019 -114.4690,32.8452 -114.5317,32.7825 -114.5403,32.7748 -114.5707,32.7474 -114.6157,32.7413 -114.6675,32.7342 -114.7057,32.7416 -114.7196,32.7188 -115.0008,32.6997 -115.4652,32.6671 -116.0466,32.6234 -116.1062,32.6186 -116.1033,33.0747
Inyo	-118.7750,37.4631 -117.8335,37.4649 -117.6806,37.3534 -117.2449,37.0302 -117.1660,36.9712 -117.0009,36.8477 -116.4882,36.4591 -116.3759,36.3726 -116.0936,36.1558 -115.8930,36.0000 -115.8461,35.9636 -115.6480,35.8096 -115.7359,35.7936 -116.2773,35.7934 -117.2510,35.7950 -117.6343,35.7973 -117.9244,35.7984 -118.0081,35.7889 -118.0055,35.8627 -117.9808,35.8675 -118.0036,35.9837 -118.0336,36.0089 -118.1271,36.2797 -118.1003,36.3461 -118.2148,36.4350 -118.2390,36.5236 -118.2905,36.5585 -118.2746,36.5973 -118.3663,36.6916 -118.3606,36.7448 -118.3898,36.8345 -118.3608,36.8877 -118.4371,37.0598 -118.5927,37.1381 -118.6546,37.1418 -118.7160,37.3282 -118.7867,37.3434 -118.7750,37.4631
Kern	-120.1944,35.7894 -119.5381,35.7899 -118.9185,35.7905 -118.0589,35.7915 -118.0081,35.7889 -117.9244,35.7984 -117.6343,35.7973 -117.6521,35.7099 -117.6343,35.6516 -117.6337,35.4393 -117.6313,35.4196 -117.6322,34.9909 -117.6322,34.8223 -117.6675,34.8225 -117.9167,34.8225 -118.8946,34.8180 -118.8804,34.7887 -118.9779,34.8117 -119.2425,34.8143 -119.2764,34.8725 -119.4437,34.9012 -119.4725,34.9014 -119.4726,35.0767 -119.5618,35.0878 -119.5538,35.1801 -119.6673,35.1750 -119.6666,35.2626 -119.8094,35.2637 -119.8092,35.3454 -119.8804,35.3511 -119.8800,35.4391 -119.9931,35.4395 -120.0652,35.5130 -120.0862,35.6144 -120.1940,35.6144 -120.1944,35.7894
Kings	-120.3151,35.9072 -119.9591,36.1817 -119.9589,36.2555 -119.9592,36.4009 -119.7542,36.4020 -119.6663,36.4190 -119.5732,36.4888 -119.5272,36.4889 -119.5288,36.4015 -119.4751,36.3709 -119.4754,36.3277 -119.4746,36.2690 -119.5294,36.2698 -119.5381,35.7899 -120.1944,35.7894 -120.2140,35.7893 -120.2758,35.9059 -120.3151,35.9072
Lake	-123.0778,39.1738 -122.9948,39.2359 -123.0197,39.3218 -123.0751,39.4077 -123.0632,39.5035 -122.8903,39.5290 -122.8854,39.5801 -122.7356,39.5807 -122.7391,39.3833 -122.7851,39.3830 -122.7435,39.3681 -122.7750,39.3118 -122.6809,39.2387 -122.4761,39.1726 -122.4920,39.0535 -122.4134,39.0202 -122.4091,38.9628 -122.3402,38.9242 -122.4219,38.9038 -122.3953,38.8640 -122.3742,38.8118 -122.4641,38.7061 -122.6268,38.6708 -122.7960,38.8390 -122.8216,38.8501 -122.9489,38.9002 -122.9866,38.9973 -123.0280,38.9966 -123.0930,39.0720 -123.0778,39.1738
Lassen	-121.3318,41.1839 -120.5014,41.1839 -119.9999,41.1840 -119.9992,40.8659 -119.9975,40.7210 -119.9962,40.3212 -119.9971,40.1264 -119.9976,39.9565 -119.9999,39.7224 -120.0157,39.7087 -120.1471,39.7077 -120.1106,39.7658 -120.1088,39.9395 -120.2013,40.0135 -120.2096,40.0860 -120.3414,40.1152 -120.4459,40.1769 -120.5108,40.2489 -120.6522,40.3077 -120.7644,40.3160 -120.9286,40.1919 -121.0615,40.2564 -121.0614,40.4465 -121.3278,40.4454 -121.3200,40.9059 -121.3318,41.1839
Los Angeles	-118.5940,33.4672 -118.4848,33.4875 -118.3703,33.4093 -118.2863,33.3515 -118.3252,33.2991 -118.3748,33.3201 -118.4654,33.3261 -118.4826,33.3699 -118.5634,33.4344 -118.5940,33.4672
Los Angeles	-118.5940,33.0360 -118.5401,32.9809 -118.4468,32.8954 -118.3535,32.8220 -118.4256,32.8006 -118.4879,32.8446 -118.5815,32.9317 -118.6416,33.0171 -118.5940,33.0360
